Institute#Academic Program Name#Quota#Seat Type#Gender#Opening Rank#Closing Rank
Indian Institute of Technology Bombay#Aerospace Engineering (4 Years, Bachelor of Technology)#AI#OPEN#Gender-Neutral#577#2119
Indian Institute of Technology Bombay#Aerospace Engineering (4 Years, Bachelor of Technology)#AI#OPEN#Female-only (including Supernumerary)#485#3968
Indian Institute of Technology Bombay#BS in Mathematics (4 Years, Bachelor of Science)#AI#OPEN#Gender-Neutral#552#1557
Indian Institute of Technology Bombay#BS in Mathematics (4 Years, Bachelor of Science)#AI#OPEN#Female-only (including Supernumerary)#1248#3895
Indian Institute of Technology Bombay#Chemical Engineering (4 Years, Bachelor of Technology)#AI#OPEN#Gender-Neutral#1420#2081
Indian Institute of Technology Bombay#Chemical Engineering (4 Years, Bachelor of Technology)#AI#OPEN#Female-only (including Supernumerary)#2571#4591
Indian Institute of Technology Bombay#Chemistry (4 Years, Bachelor of Science)#AI#OPEN#Gender-Neutral#1664#5323
Indian Institute of Technology Bombay#Chemistry (4 Years, Bachelor of Science)#AI#OPEN#Female-only (including Supernumerary)#10036#10957
Indian Institute of Technology Bombay#Civil Engineering (4 Years, Bachelor of Technology)#AI#OPEN#Gender-Neutral#1941#3418
Indian Institute of Technology Bombay#Civil Engineering (4 Years, Bachelor of Technology)#AI#OPEN#Female-only (including Supernumerary)#4728#7079
Indian Institute of Technology Bombay#Computer Science and Engineering (4 Years, Bachelor of Technology)#AI#OPEN#Gender-Neutral#1#60
Indian Institute of Technology Bombay#Computer Science and Engineering (4 Years, Bachelor of Technology)#AI#OPEN#Female-only (including Supernumerary)#16#305
Indian Institute of Technology Bombay#Economics (4 Years, Bachelor of Science)#AI#OPEN#Gender-Neutral#1577#2107
Indian Institute of Technology Bombay#Economics (4 Years, Bachelor of Science)#AI#OPEN#Female-only (including Supernumerary)#3238#3551
Indian Institute of Technology Bombay#Electrical Engineering (4 Years, Bachelor of Technology)#AI#OPEN#Gender-Neutral#103#369
Indian Institute of Technology Bombay#Electrical Engineering (4 Years, Bachelor of Technology)#AI#OPEN#Female-only (including Supernumerary)#1065#1283
Indian Institute of Technology Bombay#Electrical Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))#AI#OPEN#Gender-Neutral#374#843
Indian Institute of Technology Bombay#Electrical Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))#AI#OPEN#Female-only (including Supernumerary)#1379#1901
Indian Institute of Technology Bombay#Energy Engineering (4 Years, Bachelor of Technology)#AI#OPEN#Gender-Neutral#1116#2381
Indian Institute of Technology Bombay#Energy Engineering (4 Years, Bachelor of Technology)#AI#OPEN#Female-only (including Supernumerary)#3498#4990
Indian Institute of Technology Bombay#Engineering Physics (4 Years, Bachelor of Technology)#AI#OPEN#Gender-Neutral#39#1397
Indian Institute of Technology Bombay#Engineering Physics (4 Years, Bachelor of Technology)#AI#OPEN#Female-only (including Supernumerary)#2113#3349
Indian Institute of Technology Bombay#Environmental Science and Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))#AI#OPEN#Gender-Neutral#3926#4736
Indian Institute of Technology Bombay#Environmental Science and Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))#AI#OPEN#Female-only (including Supernumerary)#8187#9590
Indian Institute of Technology Bombay#Mechanical Engineering (4 Years, Bachelor of Technology)#AI#OPEN#Gender-Neutral#141#1382
Indian Institute of Technology Bombay#Mechanical Engineering (4 Years, Bachelor of Technology)#AI#OPEN#Female-only (including Supernumerary)#971#3036
Indian Institute of Technology Bombay#Mechanical Engineering and M.Tech. in Computer Integrated Manufacturing (5 Years, Bachelor and Master of Technology (Dual Degree))#AI#OPEN#Gender-Neutral#1409#1492
Indian Institute of Technology Bombay#Mechanical Engineering and M.Tech. in Computer Integrated Manufacturing (5 Years, Bachelor and Master of Technology (Dual Degree))#AI#OPEN#Female-only (including Supernumerary)#3531#4102
Indian Institute of Technology Bombay#Metallurgical Engineering and Materials Science (4 Years, Bachelor of Technology)#AI#OPEN#Gender-Neutral#2476#3766
Indian Institute of Technology Bombay#Metallurgical Engineering and Materials Science (4 Years, Bachelor of Technology)#AI#OPEN#Female-only (including Supernumerary)#6625#8417
Indian Institute of Technology Mandi#Bio Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))#AI#OPEN#Gender-Neutral#11233#13364
Indian Institute of Technology Mandi#Bio Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))#AI#OPEN#Female-only (including Supernumerary)#18277#20984
Indian Institute of Technology Mandi#Civil Engineering (4 Years, Bachelor of Technology)#AI#OPEN#Gender-Neutral#9974#11224
Indian Institute of Technology Mandi#Civil Engineering (4 Years, Bachelor of Technology)#AI#OPEN#Female-only (including Supernumerary)#15540#17662
Indian Institute of Technology Mandi#Computer Science and Engineering (4 Years, Bachelor of Technology)#AI#OPEN#Gender-Neutral#1809#2773
Indian Institute of Technology Mandi#Computer Science and Engineering (4 Years, Bachelor of Technology)#AI#OPEN#Female-only (including Supernumerary)#5239#5608
Indian Institute of Technology Mandi#Data Science and Engineering (4 Years, Bachelor of Technology)#AI#OPEN#Gender-Neutral#3055#3677
Indian Institute of Technology Mandi#Data Science and Engineering (4 Years, Bachelor of Technology)#AI#OPEN#Female-only (including Supernumerary)#5774#6307
Indian Institute of Technology Mandi#Electrical Engineering (4 Years, Bachelor of Technology)#AI#OPEN#Gender-Neutral#4602#6411
Indian Institute of Technology Mandi#Electrical Engineering (4 Years, Bachelor of Technology)#AI#OPEN#Female-only (including Supernumerary)#8217#11025
Indian Institute of Technology Mandi#Engineering Physics (4 Years, Bachelor of Technology)#AI#OPEN#Gender-Neutral#7363#10060
Indian Institute of Technology Mandi#Engineering Physics (4 Years, Bachelor of Technology)#AI#OPEN#Female-only (including Supernumerary)#16189#16863
Indian Institute of Technology Mandi#Mechanical Engineering (4 Years, Bachelor of Technology)#AI#OPEN#Gender-Neutral#7016#8982
Indian Institute of Technology Mandi#Mechanical Engineering (4 Years, Bachelor of Technology)#AI#OPEN#Female-only (including Supernumerary)#13581#15190
Indian Institute of Technology Delhi#Biotechnology and Biochemical Engineering (4 Years, Bachelor of Technology)#AI#OPEN#Gender-Neutral#2745#4684
Indian Institute of Technology Delhi#Biotechnology and Biochemical Engineering (4 Years, Bachelor of Technology)#AI#OPEN#Female-only (including Supernumerary)#4717#10094
Indian Institute of Technology Delhi#Chemical Engineering (4 Years, Bachelor of Technology)#AI#OPEN#Gender-Neutral#1261#2291
Indian Institute of Technology Delhi#Chemical Engineering (4 Years, Bachelor of Technology)#AI#OPEN#Female-only (including Supernumerary)#3327#4570
Indian Institute of Technology Delhi#Chemical Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))#AI#OPEN#Gender-Neutral#2918#3886
Indian Institute of Technology Delhi#Chemical Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))#AI#OPEN#Female-only (including Supernumerary)#5031#6821
Indian Institute of Technology Delhi#Civil Engineering (4 Years, Bachelor of Technology)#AI#OPEN#Gender-Neutral#2766#4261
Indian Institute of Technology Delhi#Civil Engineering (4 Years, Bachelor of Technology)#AI#OPEN#Female-only (including Supernumerary)#4603#8206
Indian Institute of Technology Delhi#Computer Science and Engineering (4 Years, Bachelor of Technology)#AI#OPEN#Gender-Neutral#29#102
Indian Institute of Technology Delhi#Computer Science and Engineering (4 Years, Bachelor of Technology)#AI#OPEN#Female-only (including Supernumerary)#342#450
Indian Institute of Technology Delhi#Computer Science and Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))#AI#OPEN#Gender-Neutral#116#196
Indian Institute of Technology Delhi#Computer Science and Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))#AI#OPEN#Female-only (including Supernumerary)#522#700
Indian Institute of Technology Delhi#Electrical Engineering (4 Years, Bachelor of Technology)#AI#OPEN#Gender-Neutral#358#574
Indian Institute of Technology Delhi#Electrical Engineering (4 Years, Bachelor of Technology)#AI#OPEN#Female-only (including Supernumerary)#1079#1572
Indian Institute of Technology Delhi#Electrical Engineering (Power and Automation) (4 Years, Bachelor of Technology)#AI#OPEN#Gender-Neutral#603#797
Indian Institute of Technology Delhi#Electrical Engineering (Power and Automation) (4 Years, Bachelor of Technology)#AI#OPEN#Female-only (including Supernumerary)#1645#2088
Indian Institute of Technology Delhi#Energy Engineering (4 Years, Bachelor of Technology)#AI#OPEN#Gender-Neutral#2360#2839
Indian Institute of Technology Delhi#Energy Engineering (4 Years, Bachelor of Technology)#AI#OPEN#Female-only (including Supernumerary)#5110#6398
Indian Institute of Technology Delhi#Engineering and Computational Mechanics (4 Years, Bachelor of Technology)#AI#OPEN#Gender-Neutral#819#1314
Indian Institute of Technology Delhi#Engineering and Computational Mechanics (4 Years, Bachelor of Technology)#AI#OPEN#Female-only (including Supernumerary)#1361#2792
Indian Institute of Technology Delhi#Engineering Physics (4 Years, Bachelor of Technology)#AI#OPEN#Gender-Neutral#1404#2656
Indian Institute of Technology Delhi#Engineering Physics (4 Years, Bachelor of Technology)#AI#OPEN#Female-only (including Supernumerary)#4007#6565
Indian Institute of Technology Delhi#Materials Engineering (4 Years, Bachelor of Technology)#AI#OPEN#Gender-Neutral#2966#4083
Indian Institute of Technology Delhi#Materials Engineering (4 Years, Bachelor of Technology)#AI#OPEN#Female-only (including Supernumerary)#9160#10092
Indian Institute of Technology Delhi#Mathematics and Computing (4 Years, Bachelor of Technology)#AI#OPEN#Gender-Neutral#140#306
Indian Institute of Technology Delhi#Mathematics and Computing (4 Years, Bachelor of Technology)#AI#OPEN#Female-only (including Supernumerary)#697#942
Indian Institute of Technology Delhi#Mathematics and Computing (5 Years, Bachelor and Master of Technology (Dual Degree))#AI#OPEN#Gender-Neutral#314#401
Indian Institute of Technology Delhi#Mathematics and Computing (5 Years, Bachelor and Master of Technology (Dual Degree))#AI#OPEN#Female-only (including Supernumerary)#943#1026
Indian Institute of Technology Delhi#Mechanical Engineering (4 Years, Bachelor of Technology)#AI#OPEN#Gender-Neutral#918#1865
Indian Institute of Technology Delhi#Mechanical Engineering (4 Years, Bachelor of Technology)#AI#OPEN#Female-only (including Supernumerary)#3330#4227
Indian Institute of Technology Delhi#Production and Industrial Engineering (4 Years, Bachelor of Technology)#AI#OPEN#Gender-Neutral#1928#3372
Indian Institute of Technology Delhi#Production and Industrial Engineering (4 Years, Bachelor of Technology)#AI#OPEN#Female-only (including Supernumerary)#6668#8700
Indian Institute of Technology Delhi#Textile Technology (4 Years, Bachelor of Technology)#AI#OPEN#Gender-Neutral#4097#5649
Indian Institute of Technology Delhi#Textile Technology (4 Years, Bachelor of Technology)#AI#OPEN#Female-only (including Supernumerary)#8455#11244
Indian Institute of Technology Indore#Civil Engineering (4 Years, Bachelor of Technology)#AI#OPEN#Gender-Neutral#7291#8989
Indian Institute of Technology Indore#Civil Engineering (4 Years, Bachelor of Technology)#AI#OPEN#Female-only (including Supernumerary)#14765#16081
Indian Institute of Technology Indore#Computer Science and Engineering (4 Years, Bachelor of Technology)#AI#OPEN#Gender-Neutral#671#1144
Indian Institute of Technology Indore#Computer Science and Engineering (4 Years, Bachelor of Technology)#AI#OPEN#Female-only (including Supernumerary)#2102#2750
Indian Institute of Technology Indore#Electrical Engineering (4 Years, Bachelor of Technology)#AI#OPEN#Gender-Neutral#2305#3599
Indian Institute of Technology Indore#Electrical Engineering (4 Years, Bachelor of Technology)#AI#OPEN#Female-only (including Supernumerary)#5293#7395
Indian Institute of Technology Indore#Mechanical Engineering (4 Years, Bachelor of Technology)#AI#OPEN#Gender-Neutral#4941#7009
Indian Institute of Technology Indore#Mechanical Engineering (4 Years, Bachelor of Technology)#AI#OPEN#Female-only (including Supernumerary)#11083#13376
Indian Institute of Technology Indore#Metallurgical Engineering and Materials Science (4 Years, Bachelor of Technology)#AI#OPEN#Gender-Neutral#8682#10444
Indian Institute of Technology Indore#Metallurgical Engineering and Materials Science (4 Years, Bachelor of Technology)#AI#OPEN#Female-only (including Supernumerary)#15777#17813
Indian Institute of Technology Kharagpur#Aerospace Engineering (4 Years, Bachelor of Technology)#AI#OPEN#Gender-Neutral#3455#4644
Indian Institute of Technology Kharagpur#Aerospace Engineering (4 Years, Bachelor of Technology)#AI#OPEN#Female-only (including Supernumerary)#9562#9700
Indian Institute of Technology Kharagpur#Aerospace Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))#AI#OPEN#Gender-Neutral#4382#5344
Indian Institute of Technology Kharagpur#Aerospace Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))#AI#OPEN#Female-only (including Supernumerary)#11128#12031
Indian Institute of Technology Kharagpur#Agricultural and Food Engineering (4 Years, Bachelor of Technology)#AI#OPEN#Gender-Neutral#6368#8351
Indian Institute of Technology Kharagpur#Agricultural and Food Engineering (4 Years, Bachelor of Technology)#AI#OPEN#Female-only (including Supernumerary)#15051#15715
Indian Institute of Technology Kharagpur#Agricultural and Food Engineering with M.Tech. in any of the listed specializations (5 Years, Bachelor and Master of Technology (Dual Degree))#AI#OPEN#Gender-Neutral#6654#9499
Indian Institute of Technology Kharagpur#Agricultural and Food Engineering with M.Tech. in any of the listed specializations (5 Years, Bachelor and Master of Technology (Dual Degree))#AI#OPEN#Female-only (including Supernumerary)#16279#17273
Indian Institute of Technology Kharagpur#Applied Geology (4 Years, Bachelor of Science)#AI#OPEN#Gender-Neutral#2846#11127
Indian Institute of Technology Kharagpur#Applied Geology (4 Years, Bachelor of Science)#AI#OPEN#Female-only (including Supernumerary)#17979#18822
Indian Institute of Technology Kharagpur#Architecture (5 Years, Bachelor of Architecture)#AI#OPEN#Gender-Neutral#8632#17278
Indian Institute of Technology Kharagpur#Architecture (5 Years, Bachelor of Architecture)#AI#OPEN#Female-only (including Supernumerary)#12632#23651
Indian Institute of Technology Kharagpur#Biotechnology and Biochemical Engineering (4 Years, Bachelor of Technology)#AI#OPEN#Gender-Neutral#5830#6900
Indian Institute of Technology Kharagpur#Biotechnology and Biochemical Engineering (4 Years, Bachelor of Technology)#AI#OPEN#Female-only (including Supernumerary)#12620#13070
Indian Institute of Technology Kharagpur#Biotechnology and Biochemical Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))#AI#OPEN#Gender-Neutral#7286#8112
Indian Institute of Technology Kharagpur#Biotechnology and Biochemical Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))#AI#OPEN#Female-only (including Supernumerary)#13568#14190
Indian Institute of Technology Kharagpur#Chemical Engineering (4 Years, Bachelor of Technology)#AI#OPEN#Gender-Neutral#3141#4474
Indian Institute of Technology Kharagpur#Chemical Engineering (4 Years, Bachelor of Technology)#AI#OPEN#Female-only (including Supernumerary)#6608#9014
Indian Institute of Technology Kharagpur#Chemical Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))#AI#OPEN#Gender-Neutral#4739#5793
Indian Institute of Technology Kharagpur#Chemical Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))#AI#OPEN#Female-only (including Supernumerary)#11606#11736
Indian Institute of Technology Kharagpur#Chemistry (4 Years, Bachelor of Science)#AI#OPEN#Gender-Neutral#8665#11036
Indian Institute of Technology Kharagpur#Chemistry (4 Years, Bachelor of Science)#AI#OPEN#Female-only (including Supernumerary)#17565#18558
Indian Institute of Technology Kharagpur#Civil Engineering (4 Years, Bachelor of Technology)#AI#OPEN#Gender-Neutral#4479#5952
Indian Institute of Technology Kharagpur#Civil Engineering (4 Years, Bachelor of Technology)#AI#OPEN#Female-only (including Supernumerary)#12063#12628
Indian Institute of Technology Kharagpur#Civil Engineering with any of the listed specialization (5 Years, Bachelor and Master of Technology (Dual Degree))#AI#OPEN#Gender-Neutral#5424#6995
Indian Institute of Technology Kharagpur#Civil Engineering with any of the listed specialization (5 Years, Bachelor and Master of Technology (Dual Degree))#AI#OPEN#Female-only (including Supernumerary)#13117#14090
Indian Institute of Technology Kharagpur#Computer Science and Engineering (4 Years, Bachelor of Technology)#AI#OPEN#Gender-Neutral#112#295
Indian Institute of Technology Kharagpur#Computer Science and Engineering (4 Years, Bachelor of Technology)#AI#OPEN#Female-only (including Supernumerary)#766#873
Indian Institute of Technology Kharagpur#Computer Science and Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))#AI#OPEN#Gender-Neutral#319#526
Indian Institute of Technology Kharagpur#Computer Science and Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))#AI#OPEN#Female-only (including Supernumerary)#982#1256
Indian Institute of Technology Kharagpur#Economics (4 Years, Bachelor of Science)#AI#OPEN#Gender-Neutral#3615#5308
Indian Institute of Technology Kharagpur#Economics (4 Years, Bachelor of Science)#AI#OPEN#Female-only (including Supernumerary)#7712#9527
Indian Institute of Technology Kharagpur#Electrical Engineering (4 Years, Bachelor of Technology)#AI#OPEN#Gender-Neutral#1028#1666
Indian Institute of Technology Kharagpur#Electrical Engineering (4 Years, Bachelor of Technology)#AI#OPEN#Female-only (including Supernumerary)#3052#3676
Indian Institute of Technology Kharagpur#Electrical Engineering with M.Tech. in any of the listed specializations (5 Years, Bachelor and Master of Technology (Dual Degree))#AI#OPEN#Gender-Neutral#1680#2227
Indian Institute of Technology Kharagpur#Electrical Engineering with M.Tech. in any of the listed specializations (5 Years, Bachelor and Master of Technology (Dual Degree))#AI#OPEN#Female-only (including Supernumerary)#3970#4951
Indian Institute of Technology Kharagpur#Electronics and Electrical Communication Engineering (4 Years, Bachelor of Technology)#AI#OPEN#Gender-Neutral#434#1138
Indian Institute of Technology Kharagpur#Electronics and Electrical Communication Engineering (4 Years, Bachelor of Technology)#AI#OPEN#Female-only (including Supernumerary)#1654#2316
Indian Institute of Technology Kharagpur#Electronics and Electrical Communication Engineering with M.Tech. in any of the listed specializations (5 Years, Bachelor and Master of Technology (Dual Degree))#AI#OPEN#Gender-Neutral#1206#1573
Indian Institute of Technology Kharagpur#Electronics and Electrical Communication Engineering with M.Tech. in any of the listed specializations (5 Years, Bachelor and Master of Technology (Dual Degree))#AI#OPEN#Female-only (including Supernumerary)#2632#3432
Indian Institute of Technology Kharagpur#Exploration Geophysics (4 Years, Bachelor of Science)#AI#OPEN#Gender-Neutral#8524#10304
Indian Institute of Technology Kharagpur#Exploration Geophysics (4 Years, Bachelor of Science)#AI#OPEN#Female-only (including Supernumerary)#17546#19571
Indian Institute of Technology Kharagpur#Industrial and Systems Engineering (4 Years, Bachelor of Technology)#AI#OPEN#Gender-Neutral#2357#3973
Indian Institute of Technology Kharagpur#Industrial and Systems Engineering (4 Years, Bachelor of Technology)#AI#OPEN#Female-only (including Supernumerary)#8027#9190
Indian Institute of Technology Kharagpur#Industrial and Systems Engineering with M.Tech. in Industrial and Systems Engineering and Management (5 Years, Bachelor and Master of Technology (Dual Degree))#AI#OPEN#Gender-Neutral#4307#4991
Indian Institute of Technology Kharagpur#Industrial and Systems Engineering with M.Tech. in Industrial and Systems Engineering and Management (5 Years, Bachelor and Master of Technology (Dual Degree))#AI#OPEN#Female-only (including Supernumerary)#9398#12090
Indian Institute of Technology Kharagpur#Instrumentation Engineering (4 Years, Bachelor of Technology)#AI#OPEN#Gender-Neutral#1637#2386
Indian Institute of Technology Kharagpur#Instrumentation Engineering (4 Years, Bachelor of Technology)#AI#OPEN#Female-only (including Supernumerary)#5373#5455
Indian Institute of Technology Kharagpur#Manufacturing Science and Engineering (4 Years, Bachelor of Technology)#AI#OPEN#Gender-Neutral#4822#5642
Indian Institute of Technology Kharagpur#Manufacturing Science and Engineering (4 Years, Bachelor of Technology)#AI#OPEN#Female-only (including Supernumerary)#12126#12419
Indian Institute of Technology Kharagpur#Manufacturing Science and Engineering with M.Tech. in Industrial and Systems Engineering and Management (5 Years, Bachelor and Master of Technology (Dual Degree))#AI#OPEN#Gender-Neutral#5717#6179
Indian Institute of Technology Kharagpur#Manufacturing Science and Engineering with M.Tech. in Industrial and Systems Engineering and Management (5 Years, Bachelor and Master of Technology (Dual Degree))#AI#OPEN#Female-only (including Supernumerary)#12657#12951
Indian Institute of Technology Kharagpur#Mathematics and Computing (4 Years, Bachelor of Science)#AI#OPEN#Gender-Neutral#711#1323
Indian Institute of Technology Kharagpur#Mathematics and Computing (4 Years, Bachelor of Science)#AI#OPEN#Female-only (including Supernumerary)#3161#3665
Indian Institute of Technology Kharagpur#Mechanical Engineering (4 Years, Bachelor of Technology)#AI#OPEN#Gender-Neutral#2042#3097
Indian Institute of Technology Kharagpur#Mechanical Engineering (4 Years, Bachelor of Technology)#AI#OPEN#Female-only (including Supernumerary)#5533#8805
Indian Institute of Technology Kharagpur#Mechanical Engineering with M.Tech. in any of the listed specializations (5 Years, Bachelor and Master of Technology (Dual Degree))#AI#OPEN#Gender-Neutral#3137#4586
Indian Institute of Technology Kharagpur#Mechanical Engineering with M.Tech. in any of the listed specializations (5 Years, Bachelor and Master of Technology (Dual Degree))#AI#OPEN#Female-only (including Supernumerary)#9315#10784
Indian Institute of Technology Kharagpur#Metallurgical and Materials Engineering (4 Years, Bachelor of Technology)#AI#OPEN#Gender-Neutral#5297#6380
Indian Institute of Technology Kharagpur#Metallurgical and Materials Engineering (4 Years, Bachelor of Technology)#AI#OPEN#Female-only (including Supernumerary)#11706#12375
Indian Institute of Technology Kharagpur#Metallurgical and Materials Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))#AI#OPEN#Gender-Neutral#6557#7211
Indian Institute of Technology Kharagpur#Metallurgical and Materials Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))#AI#OPEN#Female-only (including Supernumerary)#14464#15485
Indian Institute of Technology Kharagpur#Mining Engineering (4 Years, Bachelor of Technology)#AI#OPEN#Gender-Neutral#6476#8123
Indian Institute of Technology Kharagpur#Mining Engineering (4 Years, Bachelor of Technology)#AI#OPEN#Female-only (including Supernumerary)#15600#16612
Indian Institute of Technology Kharagpur#Mining Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))#AI#OPEN#Gender-Neutral#8275#8739
Indian Institute of Technology Kharagpur#Mining Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))#AI#OPEN#Female-only (including Supernumerary)#17128#18441
Indian Institute of Technology Kharagpur#Mining Safety Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))#AI#OPEN#Gender-Neutral#8909#9716
Indian Institute of Technology Kharagpur#Mining Safety Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))#AI#OPEN#Female-only (including Supernumerary)#18055#20022
Indian Institute of Technology Kharagpur#Ocean Engineering and Naval Architecture (4 Years, Bachelor of Technology)#AI#OPEN#Gender-Neutral#6723#8035
Indian Institute of Technology Kharagpur#Ocean Engineering and Naval Architecture (4 Years, Bachelor of Technology)#AI#OPEN#Female-only (including Supernumerary)#13783#14690
